what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1307388715815
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1307388716688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1307388754595
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1307388762290
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1307388762315
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1307388775468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307388791968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307388798268
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1307388801666
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1307388801815
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.201.R36x_v20110111,"org.eclipse.equinox.p2.touchpoint.natives",1307388806076
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1307388806185
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1307388806232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307388811916
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1307388811937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307388812212
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1307389051652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307389150574
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307389150954
